grant_name,state,amount,industry,slug,deadline,description
Texas Veteran Business Support Grant,Texas,"$5,000",Varies,texas-veteran-business-support-grant,December 2026,"Small business owners in Texas can now access the Texas Veteran Business Support Grant to scale their operations. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. Small business owners in Texas can now access the Texas Veteran Business Support Grant to scale their operations. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. Small business owners in Texas can now access the Texas Veteran Business Support Grant to scale their operations. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. Small business owners in Texas can now access the Texas Veteran Business Support Grant to scale their operations. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. "
Texas Green Energy Expansion Grant,Texas,"$50,000",Sustainability,texas-green-energy-expansion-grant,December 2026,"Funding is the lifeblood of innovation, and the Texas Green Energy Expansion Grant provides exactly that for Sustainability companies. With a total award of $50,000, this program is designed to offset the rising costs of labor and technology in Texas. Don't miss the deadline for this Texas-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Texas Green Energy Expansion Grant provides exactly that for Sustainability companies. With a total award of $50,000, this program is designed to offset the rising costs of labor and technology in Texas. Don't miss the deadline for this Texas-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Texas Green Energy Expansion Grant provides exactly that for Sustainability companies. With a total award of $50,000, this program is designed to offset the rising costs of labor and technology in Texas. Don't miss the deadline for this Texas-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Texas Green Energy Expansion Grant provides exactly that for Sustainability companies. With a total award of $50,000, this program is designed to offset the rising costs of labor and technology in Texas. Don't miss the deadline for this Texas-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
North Carolina Growth Grant for Minorities,North Carolina,"$10,000",General,north-carolina-growth-grant-for-minorities,December 2026,"Funding is the lifeblood of innovation, and the North Carolina Growth Grant for Minorities provides exactly that for General companies. Applying for the North Carolina Growth Grant for Minorities allows General professionals to focus on long-term growth without the burden of traditional high-interest loans. Our directory provides the roadmap to securing the North Carolina Growth Grant for Minorities, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the North Carolina Growth Grant for Minorities provides exactly that for General companies. Applying for the North Carolina Growth Grant for Minorities allows General professionals to focus on long-term growth without the burden of traditional high-interest loans. Our directory provides the roadmap to securing the North Carolina Growth Grant for Minorities, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the North Carolina Growth Grant for Minorities provides exactly that for General companies. Applying for the North Carolina Growth Grant for Minorities allows General professionals to focus on long-term growth without the burden of traditional high-interest loans. Our directory provides the roadmap to securing the North Carolina Growth Grant for Minorities, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the North Carolina Growth Grant for Minorities provides exactly that for General companies. Applying for the North Carolina Growth Grant for Minorities allows General professionals to focus on long-term growth without the burden of traditional high-interest loans. Our directory provides the roadmap to securing the North Carolina Growth Grant for Minorities, helping you navigate the complex US grant landscape. "
California Green Energy Expansion Grant,California,"$50,000",Sustainability,california-green-energy-expansion-grant,December 2026,"Small business owners in California can now access the California Green Energy Expansion Grant to scale their operations. With a total award of $50,000, this program is designed to offset the rising costs of labor and technology in California. Don't miss the deadline for this California-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in California can now access the California Green Energy Expansion Grant to scale their operations. With a total award of $50,000, this program is designed to offset the rising costs of labor and technology in California. Don't miss the deadline for this California-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in California can now access the California Green Energy Expansion Grant to scale their operations. With a total award of $50,000, this program is designed to offset the rising costs of labor and technology in California. Don't miss the deadline for this California-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in California can now access the California Green Energy Expansion Grant to scale their operations. With a total award of $50,000, this program is designed to offset the rising costs of labor and technology in California. Don't miss the deadline for this California-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
Georgia Innovation Research Grant (SBIR),Georgia,"$150,000",Technology,georgia-innovation-research-grant-sbir,December 2026,Small business owners in Georgia can now access the Georgia Innovation Research Grant (SBIR) to scale their operations. Applying for the Georgia Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Georgia-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in Georgia can now access the Georgia Innovation Research Grant (SBIR) to scale their operations. Applying for the Georgia Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Georgia-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in Georgia can now access the Georgia Innovation Research Grant (SBIR) to scale their operations. Applying for the Georgia Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Georgia-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in Georgia can now access the Georgia Innovation Research Grant (SBIR) to scale their operations. Applying for the Georgia Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Georgia-exclusive funding opportunity. Ensure your documentation is ready before submitting. 
Pennsylvania Growth Grant for Minorities,Pennsylvania,"$10,000",General,pennsylvania-growth-grant-for-minorities,December 2026,"Small business owners in Pennsylvania can now access the Pennsylvania Growth Grant for Minorities to scale their operations. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Pennsylvania. Don't miss the deadline for this Pennsylvania-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in Pennsylvania can now access the Pennsylvania Growth Grant for Minorities to scale their operations. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Pennsylvania. Don't miss the deadline for this Pennsylvania-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in Pennsylvania can now access the Pennsylvania Growth Grant for Minorities to scale their operations. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Pennsylvania. Don't miss the deadline for this Pennsylvania-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in Pennsylvania can now access the Pennsylvania Growth Grant for Minorities to scale their operations. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Pennsylvania. Don't miss the deadline for this Pennsylvania-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
New York Veteran Business Support Grant,New York,"$5,000",Varies,new-york-veteran-business-support-grant,December 2026,"Funding is the lifeblood of innovation, and the New York Veteran Business Support Grant provides exactly that for Varies companies. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this New York-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the New York Veteran Business Support Grant provides exactly that for Varies companies. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this New York-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the New York Veteran Business Support Grant provides exactly that for Varies companies. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this New York-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the New York Veteran Business Support Grant provides exactly that for Varies companies. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this New York-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
Texas Innovation Research Grant (SBIR),Texas,"$150,000",Technology,texas-innovation-research-grant-sbir,December 2026,"The Texas Innovation Research Grant (SBIR) represents a significant opportunity for entrepreneurs in Texas. Applying for the Texas Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. Our directory provides the roadmap to securing the Texas Innovation Research Grant (SBIR), helping you navigate the complex US grant landscape. The Texas Innovation Research Grant (SBIR) represents a significant opportunity for entrepreneurs in Texas. Applying for the Texas Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. Our directory provides the roadmap to securing the Texas Innovation Research Grant (SBIR), helping you navigate the complex US grant landscape. The Texas Innovation Research Grant (SBIR) represents a significant opportunity for entrepreneurs in Texas. Applying for the Texas Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. Our directory provides the roadmap to securing the Texas Innovation Research Grant (SBIR), helping you navigate the complex US grant landscape. The Texas Innovation Research Grant (SBIR) represents a significant opportunity for entrepreneurs in Texas. Applying for the Texas Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. Our directory provides the roadmap to securing the Texas Innovation Research Grant (SBIR), helping you navigate the complex US grant landscape. "
North Carolina Innovation Research Grant (SBIR),North Carolina,"$150,000",Technology,north-carolina-innovation-research-grant-sbir,December 2026,"Small business owners in North Carolina can now access the North Carolina Innovation Research Grant (SBIR) to scale their operations. Applying for the North Carolina Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. Our directory provides the roadmap to securing the North Carolina Innovation Research Grant (SBIR), helping you navigate the complex US grant landscape. Small business owners in North Carolina can now access the North Carolina Innovation Research Grant (SBIR) to scale their operations. Applying for the North Carolina Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. Our directory provides the roadmap to securing the North Carolina Innovation Research Grant (SBIR), helping you navigate the complex US grant landscape. Small business owners in North Carolina can now access the North Carolina Innovation Research Grant (SBIR) to scale their operations. Applying for the North Carolina Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. Our directory provides the roadmap to securing the North Carolina Innovation Research Grant (SBIR), helping you navigate the complex US grant landscape. Small business owners in North Carolina can now access the North Carolina Innovation Research Grant (SBIR) to scale their operations. Applying for the North Carolina Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. Our directory provides the roadmap to securing the North Carolina Innovation Research Grant (SBIR), helping you navigate the complex US grant landscape. "
Florida Innovation Research Grant (SBIR),Florida,"$150,000",Technology,florida-innovation-research-grant-sbir,December 2026,"Small business owners in Florida can now access the Florida Innovation Research Grant (SBIR) to scale their operations. With a total award of $150,000, this program is designed to offset the rising costs of labor and technology in Florida. As of May 2026, applications are being prioritized for Technology firms that have been operational for at least 12 months. Small business owners in Florida can now access the Florida Innovation Research Grant (SBIR) to scale their operations. With a total award of $150,000, this program is designed to offset the rising costs of labor and technology in Florida. As of May 2026, applications are being prioritized for Technology firms that have been operational for at least 12 months. Small business owners in Florida can now access the Florida Innovation Research Grant (SBIR) to scale their operations. With a total award of $150,000, this program is designed to offset the rising costs of labor and technology in Florida. As of May 2026, applications are being prioritized for Technology firms that have been operational for at least 12 months. Small business owners in Florida can now access the Florida Innovation Research Grant (SBIR) to scale their operations. With a total award of $150,000, this program is designed to offset the rising costs of labor and technology in Florida. As of May 2026, applications are being prioritized for Technology firms that have been operational for at least 12 months. "
New York Growth Grant for Minorities,New York,"$10,000",General,new-york-growth-grant-for-minorities,December 2026,"Small business owners in New York can now access the New York Growth Grant for Minorities to scale their operations. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in New York. Don't miss the deadline for this New York-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in New York can now access the New York Growth Grant for Minorities to scale their operations. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in New York. Don't miss the deadline for this New York-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in New York can now access the New York Growth Grant for Minorities to scale their operations. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in New York. Don't miss the deadline for this New York-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in New York can now access the New York Growth Grant for Minorities to scale their operations. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in New York. Don't miss the deadline for this New York-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
North Carolina Green Energy Expansion Grant,North Carolina,"$50,000",Sustainability,north-carolina-green-energy-expansion-grant,December 2026,"Funding is the lifeblood of innovation, and the North Carolina Green Energy Expansion Grant provides exactly that for Sustainability companies. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this North Carolina-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the North Carolina Green Energy Expansion Grant provides exactly that for Sustainability companies. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this North Carolina-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the North Carolina Green Energy Expansion Grant provides exactly that for Sustainability companies. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this North Carolina-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the North Carolina Green Energy Expansion Grant provides exactly that for Sustainability companies. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this North Carolina-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
Michigan Veteran Business Support Grant,Michigan,"$5,000",Varies,michigan-veteran-business-support-grant,December 2026,"The Michigan Veteran Business Support Grant represents a significant opportunity for entrepreneurs in Michigan. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. The Michigan Veteran Business Support Grant represents a significant opportunity for entrepreneurs in Michigan. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. The Michigan Veteran Business Support Grant represents a significant opportunity for entrepreneurs in Michigan. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. The Michigan Veteran Business Support Grant represents a significant opportunity for entrepreneurs in Michigan. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. "
Florida Growth Grant for Minorities,Florida,"$10,000",General,florida-growth-grant-for-minorities,December 2026,"Funding is the lifeblood of innovation, and the Florida Growth Grant for Minorities provides exactly that for General companies. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Florida-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Florida Growth Grant for Minorities provides exactly that for General companies. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Florida-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Florida Growth Grant for Minorities provides exactly that for General companies. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Florida-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Florida Growth Grant for Minorities provides exactly that for General companies. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Florida-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
New York Green Energy Expansion Grant,New York,"$50,000",Sustainability,new-york-green-energy-expansion-grant,December 2026,"Funding is the lifeblood of innovation, and the New York Green Energy Expansion Grant provides exactly that for Sustainability companies. Applying for the New York Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the New York Green Energy Expansion Grant provides exactly that for Sustainability companies. Applying for the New York Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the New York Green Energy Expansion Grant provides exactly that for Sustainability companies. Applying for the New York Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the New York Green Energy Expansion Grant provides exactly that for Sustainability companies. Applying for the New York Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. "
Ohio Women-Owned Startup Fund,Ohio,"$25,000",Retail/Service,ohio-women-owned-startup-fund,December 2026,"Funding is the lifeblood of innovation, and the Ohio Women-Owned Startup Fund provides exactly that for Retail/Service companies. Applying for the Ohio Women-Owned Startup Fund allows Retail/Service professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Ohio-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Ohio Women-Owned Startup Fund provides exactly that for Retail/Service companies. Applying for the Ohio Women-Owned Startup Fund allows Retail/Service professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Ohio-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Ohio Women-Owned Startup Fund provides exactly that for Retail/Service companies. Applying for the Ohio Women-Owned Startup Fund allows Retail/Service professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Ohio-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Ohio Women-Owned Startup Fund provides exactly that for Retail/Service companies. Applying for the Ohio Women-Owned Startup Fund allows Retail/Service professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Ohio-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
North Carolina Green Energy Expansion Grant,North Carolina,"$50,000",Sustainability,north-carolina-green-energy-expansion-grant,December 2026,"Funding is the lifeblood of innovation, and the North Carolina Green Energy Expansion Grant provides exactly that for Sustainability companies. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the North Carolina Green Energy Expansion Grant provides exactly that for Sustainability companies. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the North Carolina Green Energy Expansion Grant provides exactly that for Sustainability companies. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the North Carolina Green Energy Expansion Grant provides exactly that for Sustainability companies. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. "
Pennsylvania Growth Grant for Minorities,Pennsylvania,"$10,000",General,pennsylvania-growth-grant-for-minorities,December 2026,"Funding is the lifeblood of innovation, and the Pennsylvania Growth Grant for Minorities provides exactly that for General companies. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Pennsylvania. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the Pennsylvania Growth Grant for Minorities provides exactly that for General companies. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Pennsylvania. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the Pennsylvania Growth Grant for Minorities provides exactly that for General companies. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Pennsylvania. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the Pennsylvania Growth Grant for Minorities provides exactly that for General companies. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Pennsylvania. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. "
Florida Green Energy Expansion Grant,Florida,"$50,000",Sustainability,florida-green-energy-expansion-grant,December 2026,"Funding is the lifeblood of innovation, and the Florida Green Energy Expansion Grant provides exactly that for Sustainability companies. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the Florida Green Energy Expansion Grant provides exactly that for Sustainability companies. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the Florida Green Energy Expansion Grant provides exactly that for Sustainability companies. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the Florida Green Energy Expansion Grant provides exactly that for Sustainability companies. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. "
Illinois Green Energy Expansion Grant,Illinois,"$50,000",Sustainability,illinois-green-energy-expansion-grant,December 2026,"Small business owners in Illinois can now access the Illinois Green Energy Expansion Grant to scale their operations. Applying for the Illinois Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. Our directory provides the roadmap to securing the Illinois Green Energy Expansion Grant, helping you navigate the complex US grant landscape. Small business owners in Illinois can now access the Illinois Green Energy Expansion Grant to scale their operations. Applying for the Illinois Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. Our directory provides the roadmap to securing the Illinois Green Energy Expansion Grant, helping you navigate the complex US grant landscape. Small business owners in Illinois can now access the Illinois Green Energy Expansion Grant to scale their operations. Applying for the Illinois Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. Our directory provides the roadmap to securing the Illinois Green Energy Expansion Grant, helping you navigate the complex US grant landscape. Small business owners in Illinois can now access the Illinois Green Energy Expansion Grant to scale their operations. Applying for the Illinois Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. Our directory provides the roadmap to securing the Illinois Green Energy Expansion Grant, helping you navigate the complex US grant landscape. "
North Carolina Innovation Research Grant (SBIR),North Carolina,"$150,000",Technology,north-carolina-innovation-research-grant-sbir,December 2026,"The North Carolina Innovation Research Grant (SBIR) represents a significant opportunity for entrepreneurs in North Carolina. Applying for the North Carolina Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Technology firms that have been operational for at least 12 months. The North Carolina Innovation Research Grant (SBIR) represents a significant opportunity for entrepreneurs in North Carolina. Applying for the North Carolina Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Technology firms that have been operational for at least 12 months. The North Carolina Innovation Research Grant (SBIR) represents a significant opportunity for entrepreneurs in North Carolina. Applying for the North Carolina Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Technology firms that have been operational for at least 12 months. The North Carolina Innovation Research Grant (SBIR) represents a significant opportunity for entrepreneurs in North Carolina. Applying for the North Carolina Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Technology firms that have been operational for at least 12 months. "
Texas Women-Owned Startup Fund,Texas,"$25,000",Retail/Service,texas-women-owned-startup-fund,December 2026,"Funding is the lifeblood of innovation, and the Texas Women-Owned Startup Fund provides exactly that for Retail/Service companies. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Texas. As of May 2026, applications are being prioritized for Retail/Service firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the Texas Women-Owned Startup Fund provides exactly that for Retail/Service companies. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Texas. As of May 2026, applications are being prioritized for Retail/Service firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the Texas Women-Owned Startup Fund provides exactly that for Retail/Service companies. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Texas. As of May 2026, applications are being prioritized for Retail/Service firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the Texas Women-Owned Startup Fund provides exactly that for Retail/Service companies. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Texas. As of May 2026, applications are being prioritized for Retail/Service firms that have been operational for at least 12 months. "
Illinois Women-Owned Startup Fund,Illinois,"$25,000",Retail/Service,illinois-women-owned-startup-fund,December 2026,"The Illinois Women-Owned Startup Fund represents a significant opportunity for entrepreneurs in Illinois. This $25,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Retail/Service firms that have been operational for at least 12 months. The Illinois Women-Owned Startup Fund represents a significant opportunity for entrepreneurs in Illinois. This $25,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Retail/Service firms that have been operational for at least 12 months. The Illinois Women-Owned Startup Fund represents a significant opportunity for entrepreneurs in Illinois. This $25,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Retail/Service firms that have been operational for at least 12 months. The Illinois Women-Owned Startup Fund represents a significant opportunity for entrepreneurs in Illinois. This $25,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Retail/Service firms that have been operational for at least 12 months. "
Georgia Veteran Business Support Grant,Georgia,"$5,000",Varies,georgia-veteran-business-support-grant,December 2026,"Small business owners in Georgia can now access the Georgia Veteran Business Support Grant to scale their operations. Applying for the Georgia Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. Small business owners in Georgia can now access the Georgia Veteran Business Support Grant to scale their operations. Applying for the Georgia Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. Small business owners in Georgia can now access the Georgia Veteran Business Support Grant to scale their operations. Applying for the Georgia Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. Small business owners in Georgia can now access the Georgia Veteran Business Support Grant to scale their operations. Applying for the Georgia Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. "
Pennsylvania Women-Owned Startup Fund,Pennsylvania,"$25,000",Retail/Service,pennsylvania-women-owned-startup-fund,December 2026,"Funding is the lifeblood of innovation, and the Pennsylvania Women-Owned Startup Fund provides exactly that for Retail/Service companies. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Pennsylvania. Our directory provides the roadmap to securing the Pennsylvania Women-Owned Startup Fund, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the Pennsylvania Women-Owned Startup Fund provides exactly that for Retail/Service companies. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Pennsylvania. Our directory provides the roadmap to securing the Pennsylvania Women-Owned Startup Fund, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the Pennsylvania Women-Owned Startup Fund provides exactly that for Retail/Service companies. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Pennsylvania. Our directory provides the roadmap to securing the Pennsylvania Women-Owned Startup Fund, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the Pennsylvania Women-Owned Startup Fund provides exactly that for Retail/Service companies. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Pennsylvania. Our directory provides the roadmap to securing the Pennsylvania Women-Owned Startup Fund, helping you navigate the complex US grant landscape. "
